1000 [Acc: 1.000000,  Test Acc: 0.886433 0.905463
1010 [Acc: 1.000000,  Test Acc: 0.884592 0.900552
1020 [Acc: 0.989583,  Test Acc: 0.831185 0.817066
1030 [Acc: 1.000000,  Test Acc: 0.892572 0.893186
1040 [Acc: 1.000000,  Test Acc: 0.854512 0.879681
1050 [Acc: 0.989583,  Test Acc: 0.870473 0.868631
1060 [Acc: 1.000000,  Test Acc: 0.887661 0.902394
1070 [Acc: 1.000000,  Test Acc: 0.892572 0.896869
1080 [Acc: 0.989583,  Test Acc: 0.869245 0.860037
1090 [Acc: 0.989583,  Test Acc: 0.885820 0.882136
1100 [Acc: 0.989583,  Test Acc: 0.895641 0.893800
1110 [Acc: 0.989583,  Test Acc: 0.871700 0.864948
1120 [Acc: 1.000000,  Test Acc: 0.895642 0.904236
1130 [Acc: 1.000000,  Test Acc: 0.891344 0.905463
1140 [Acc: 1.000000,  Test Acc: 0.867403 0.888275
1150 [Acc: 0.989583,  Test Acc: 0.888889 0.883978
1160 [Acc: 0.989583,  Test Acc: 0.865562 0.845918
1170 [Acc: 0.989583,  Test Acc: 0.878453 0.895028
1180 [Acc: 0.989583,  Test Acc: 0.895028 0.887661
1190 [Acc: 1.000000,  Test Acc: 0.850215 0.879681
1200 [Acc: 1.000000,  Test Acc: 0.834254 0.817680
1210 [Acc: 1.000000,  Test Acc: 0.893186 0.902394
1220 [Acc: 1.000000,  Test Acc: 0.896869 0.891958
1230 [Acc: 0.989583,  Test Acc: 0.895028 0.901166
1240 [Acc: 0.989583,  Test Acc: 0.870473 0.851443
1250 [Acc: 1.000000,  Test Acc: 0.889503 0.902394
1260 [Acc: 1.000000,  Test Acc: 0.883978 0.867403
1270 [Acc: 0.989583,  Test Acc: 0.887047 0.897483
1280 [Acc: 0.989583,  Test Acc: 0.870473 0.865562
1290 [Acc: 0.979167,  Test Acc: 0.891958 0.877225
1300 [Acc: 0.989583,  Test Acc: 0.862492 0.845918
1310 [Acc: 0.989583,  Test Acc: 0.893800 0.903622
1320 [Acc: 0.989583,  Test Acc: 0.880295 0.895028
1330 [Acc: 0.989583,  Test Acc: 0.896255 0.904850
1340 [Acc: 1.000000,  Test Acc: 0.885206 0.898097
1350 [Acc: 0.989583,  Test Acc: 0.899939 0.903008
1360 [Acc: 0.989583,  Test Acc: 0.902394 0.907919
1370 [Acc: 1.000000,  Test Acc: 0.889503 0.875998
1380 [Acc: 1.000000,  Test Acc: 0.898097 0.906077
1390 [Acc: 1.000000,  Test Acc: 0.896255 0.904850
1400 [Acc: 1.000000,  Test Acc: 0.890731 0.874770
1410 [Acc: 1.000000,  Test Acc: 0.857581 0.879681
1420 [Acc: 1.000000,  Test Acc: 0.885820 0.868631
1430 [Acc: 1.000000,  Test Acc: 0.898097 0.896869
1440 [Acc: 0.979167,  Test Acc: 0.894414 0.908533
1450 [Acc: 0.979167,  Test Acc: 0.896869 0.890117
1460 [Acc: 1.000000,  Test Acc: 0.899939 0.894414
1470 [Acc: 1.000000,  Test Acc: 0.893800 0.894414
1480 [Acc: 1.000000,  Test Acc: 0.872314 0.858195
1490 [Acc: 1.000000,  Test Acc: 0.896869 0.903622
1500 [Acc: 1.000000,  Test Acc: 0.899939 0.901780
