1552420,1
1191430,1
1170060,0
1323550,1
1423000,1
1195120,0
1123920,0
1287270,0
1369440,1
1255540,1
1406350,1
1159160,0
1203830,0
1398620,1
1336880,1
1456020,1
1466340,1
1608660,1
1598020,1
1470340,1
1359510,0
1434730,0
1232820,1
1297330,0
1442090,1
1402160,1
1404260,0
1314370,1
1336850,0
1349820,1
1373530,0
1255290,0
1188250,0
1303670,0
1081910,0
1270770,0
1303470,0
1246280,0
1596200,1
1266400,0
1317050,0
1130830,0
1180580,0
1259580,1
1205580,1
1230500,1
1262410,1
1116450,0
1410980,1
1356850,1
1385460,0
1644900,1
1485100,1
1268110,0
1369090,0
1318500,0
1349520,1
1274440,0
1168290,1
1305750,0
1406740,1
1287750,1
1390640,1
1356670,0
1203700,0
1350360,0
1253490,1
1332930,0
1362100,0
1479850,1
1348430,1
1253210,1
1476770,1
1302330,0
1275350,0
1201740,1
1320630,1
1273270,0
1239650,0
1405870,1
1276150,0
1331650,0
1367970,0
1284520,0
1230970,0
1421670,1
1249190,0
1208190,0
1408240,1
1101620,0
1246020,0
1411690,1
1084880,1
1446910,0
1184990,0
1278300,0
1248940,0
1457010,1
1269370,0
1493550,1
1277490,0
1432010,1
1441990,1
1224680,1
1215880,0
1128210,0
1146710,1
1284720,0
1331620,0
1292880,0
1233930,0
1274520,0
1159890,1
1287350,1
1504600,1
1552390,1
1320720,1
1286720,1
1113430,0
1424220,0
1200360,0
1295510,0
1150760,0
1255740,1
1472280,1
1128620,0
1323190,0
1488150,1
1457170,1
1477230,1
1308790,0
1330170,1
1414460,1
1377300,1
1405730,0
1274020,1
1181090,0
1418700,1
1313000,1
1294580,0
1399020,1
1224300,0
1297580,1
1305300,0
1328480,1
1337090,0
1473850,0
1180150,1
1512440,1
1321280,1
1632320,1
1237570,0
1285910,1
1162490,0
1192490,1
1254340,0
1427220,1
1266470,0
1200800,0
1184960,0
1141980,0
1305960,1
1475060,1
1350150,1
1200400,0
1261220,0
1449900,1
1357610,1
1359980,1
1445800,1
1517170,1
1458220,1
1353650,1
1125090,0
1133410,0
1391190,0
1405220,1
1644550,1
